observation_date,GS5
1993-09-01,4.73
1993-10-01,4.71
1993-11-01,5.06
1993-12-01,5.15
1994-01-01,5.09
1994-02-01,5.40
1994-03-01,5.94
1994-04-01,6.52
1994-05-01,6.78
1994-06-01,6.70
1994-07-01,6.91
1994-08-01,6.88
1994-09-01,7.08
1994-10-01,7.40
1994-11-01,7.72
1994-12-01,7.78
1995-01-01,7.76
1995-02-01,7.37
1995-03-01,7.05
1995-04-01,6.86
1995-05-01,6.41
1995-06-01,5.93
1995-07-01,6.01
1995-08-01,6.24
1995-09-01,6.00
1995-10-01,5.86
1995-11-01,5.69
1995-12-01,5.51
1996-01-01,5.36
1996-02-01,5.38
1996-03-01,5.97
1996-04-01,6.30
1996-05-01,6.48
1996-06-01,6.69
1996-07-01,6.64
1996-08-01,6.39
1996-09-01,6.60
1996-10-01,6.27
1996-11-01,5.97
1996-12-01,6.07
1997-01-01,6.33
1997-02-01,6.20
1997-03-01,6.54
1997-04-01,6.76
1997-05-01,6.57
1997-06-01,6.38
1997-07-01,6.12
1997-08-01,6.16
1997-09-01,6.11
1997-10-01,5.93
1997-11-01,5.80
1997-12-01,5.77
1998-01-01,5.42
1998-02-01,5.49
1998-03-01,5.61
1998-04-01,5.61
1998-05-01,5.63
1998-06-01,5.52
1998-07-01,5.46
1998-08-01,5.27
1998-09-01,4.62
1998-10-01,4.18
1998-11-01,4.54
1998-12-01,4.45
1999-01-01,4.60
1999-02-01,4.91
1999-03-01,5.14
1999-04-01,5.08
1999-05-01,5.44
1999-06-01,5.81
1999-07-01,5.68
1999-08-01,5.84
1999-09-01,5.80
1999-10-01,6.03
1999-11-01,5.97
1999-12-01,6.19
2000-01-01,6.58
2000-02-01,6.68
2000-03-01,6.50
2000-04-01,6.26
2000-05-01,6.69
2000-06-01,6.30
2000-07-01,6.18
2000-08-01,6.06
2000-09-01,5.93
2000-10-01,5.78
2000-11-01,5.70
2000-12-01,5.17
2001-01-01,4.86
2001-02-01,4.89
2001-03-01,4.64
2001-04-01,4.76
2001-05-01,4.93
2001-06-01,4.81
2001-07-01,4.76
2001-08-01,4.57
2001-09-01,4.12
2001-10-01,3.91
2001-11-01,3.97
2001-12-01,4.39
2002-01-01,4.34
2002-02-01,4.30
2002-03-01,4.74
2002-04-01,4.65
2002-05-01,4.49
2002-06-01,4.19
2002-07-01,3.81
2002-08-01,3.29
2002-09-01,2.94
2002-10-01,2.95
2002-11-01,3.05
2002-12-01,3.03
2003-01-01,3.05
2003-02-01,2.90
2003-03-01,2.78
2003-04-01,2.93
2003-05-01,2.52
2003-06-01,2.27
2003-07-01,2.87
2003-08-01,3.37
2003-09-01,3.18
2003-10-01,3.19
2003-11-01,3.29
2003-12-01,3.27
2004-01-01,3.12
2004-02-01,3.07
2004-03-01,2.79
2004-04-01,3.39
2004-05-01,3.85
2004-06-01,3.93
2004-07-01,3.69
2004-08-01,3.47
2004-09-01,3.36
2004-10-01,3.35
2004-11-01,3.53
2004-12-01,3.60
2005-01-01,3.71
2005-02-01,3.77
2005-03-01,4.17
2005-04-01,4.00
2005-05-01,3.85
2005-06-01,3.77
2005-07-01,3.98
2005-08-01,4.12
2005-09-01,4.01
2005-10-01,4.33
2005-11-01,4.45
2005-12-01,4.39
2006-01-01,4.35
2006-02-01,4.57
2006-03-01,4.72
2006-04-01,4.90
2006-05-01,5.00
2006-06-01,5.07
2006-07-01,5.04
2006-08-01,4.82
2006-09-01,4.67
2006-10-01,4.69
2006-11-01,4.58
2006-12-01,4.53
2007-01-01,4.75
2007-02-01,4.71
2007-03-01,4.48
2007-04-01,4.59
2007-05-01,4.67
2007-06-01,5.03
2007-07-01,4.88
2007-08-01,4.43
2007-09-01,4.20
2007-10-01,4.20
2007-11-01,3.67
2007-12-01,3.49
2008-01-01,2.98
2008-02-01,2.78
2008-03-01,2.48
2008-04-01,2.84
2008-05-01,3.15
2008-06-01,3.49
2008-07-01,3.30
2008-08-01,3.14
2008-09-01,2.88
2008-10-01,2.73
2008-11-01,2.29
2008-12-01,1.52
2009-01-01,1.60
2009-02-01,1.87
2009-03-01,1.82
2009-04-01,1.86
2009-05-01,2.13
2009-06-01,2.71
2009-07-01,2.46
2009-08-01,2.57
2009-09-01,2.37
2009-10-01,2.33
2009-11-01,2.23
2009-12-01,2.34
2010-01-01,2.48
2010-02-01,2.36
2010-03-01,2.43
2010-04-01,2.58
2010-05-01,2.18
2010-06-01,2.00
2010-07-01,1.76
2010-08-01,1.47
2010-09-01,1.41
2010-10-01,1.18
2010-11-01,1.35
2010-12-01,1.93
2011-01-01,1.99
2011-02-01,2.26
2011-03-01,2.11
2011-04-01,2.17
2011-05-01,1.84
2011-06-01,1.58
2011-07-01,1.54
2011-08-01,1.02
2011-09-01,0.90
2011-10-01,1.06
2011-11-01,0.91
2011-12-01,0.89
2012-01-01,0.84
2012-02-01,0.83
2012-03-01,1.02
2012-04-01,0.89
2012-05-01,0.76
2012-06-01,0.71
2012-07-01,0.62
2012-08-01,0.71
2012-09-01,0.67
2012-10-01,0.71
2012-11-01,0.67
2012-12-01,0.70
2013-01-01,0.81
2013-02-01,0.85
2013-03-01,0.82
2013-04-01,0.71
2013-05-01,0.84
2013-06-01,1.20
2013-07-01,1.40
2013-08-01,1.52
2013-09-01,1.60
2013-10-01,1.37
2013-11-01,1.37
2013-12-01,1.58
2014-01-01,1.65
2014-02-01,1.52
2014-03-01,1.64
2014-04-01,1.70
2014-05-01,1.59
2014-06-01,1.68
2014-07-01,1.70
2014-08-01,1.63
2014-09-01,1.77
2014-10-01,1.55
2014-11-01,1.62
2014-12-01,1.64
2015-01-01,1.37
2015-02-01,1.47
2015-03-01,1.52
2015-04-01,1.35
2015-05-01,1.54
2015-06-01,1.68
2015-07-01,1.63
2015-08-01,1.54
2015-09-01,1.49
2015-10-01,1.39
2015-11-01,1.67
2015-12-01,1.70
2016-01-01,1.52
2016-02-01,1.22
2016-03-01,1.38
2016-04-01,1.26
2016-05-01,1.30
2016-06-01,1.17
2016-07-01,1.07
2016-08-01,1.13
2016-09-01,1.18
2016-10-01,1.27
2016-11-01,1.60
2016-12-01,1.96
2017-01-01,1.92
2017-02-01,1.90
2017-03-01,2.01
2017-04-01,1.82
2017-05-01,1.84
2017-06-01,1.77
2017-07-01,1.87
2017-08-01,1.78
2017-09-01,1.80
2017-10-01,1.98
2017-11-01,2.05
2017-12-01,2.18
2018-01-01,2.38
2018-02-01,2.60
2018-03-01,2.63
2018-04-01,2.70
2018-05-01,2.82
2018-06-01,2.78
2018-07-01,2.78
2018-08-01,2.77
2018-09-01,2.89
2018-10-01,3.00
2018-11-01,2.95
2018-12-01,2.68
2019-01-01,2.54
2019-02-01,2.49
2019-03-01,2.37
2019-04-01,2.33
2019-05-01,2.19
2019-06-01,1.83
2019-07-01,1.83
2019-08-01,1.49
2019-09-01,1.57
2019-10-01,1.53
2019-11-01,1.64
2019-12-01,1.68
2020-01-01,1.56
2020-02-01,1.32
2020-03-01,0.59
2020-04-01,0.39
2020-05-01,0.34
2020-06-01,0.34
2020-07-01,0.28
2020-08-01,0.27
2020-09-01,0.27
2020-10-01,0.34
2020-11-01,0.39
2020-12-01,0.39
2021-01-01,0.45
2021-02-01,0.54
2021-03-01,0.82
2021-04-01,0.86
2021-05-01,0.82
2021-06-01,0.84
2021-07-01,0.76
2021-08-01,0.77
2021-09-01,0.86
2021-10-01,1.11
2021-11-01,1.20
2021-12-01,1.23
2022-01-01,1.54
2022-02-01,1.81
2022-03-01,2.11
2022-04-01,2.78
2022-05-01,2.87
2022-06-01,3.19
2022-07-01,2.96
2022-08-01,3.03
2022-09-01,3.70
2022-10-01,4.18
2022-11-01,4.06
2022-12-01,3.76
2023-01-01,3.64
2023-02-01,3.94
2023-03-01,3.82
2023-04-01,3.54
2023-05-01,3.59
2023-06-01,3.95
2023-07-01,4.14
2023-08-01,4.31
2023-09-01,4.49
2023-10-01,4.77
2023-11-01,4.49
2023-12-01,4.00
2024-01-01,3.98
2024-02-01,4.19
2024-03-01,4.20
2024-04-01,4.56
2024-05-01,4.50
2024-06-01,4.32
2024-07-01,4.16
2024-08-01,3.71
2024-09-01,3.50
2024-10-01,3.91
2024-11-01,4.23
2024-12-01,4.25
2025-01-01,4.43
2025-02-01,4.28
2025-03-01,4.04
2025-04-01,3.91
2025-05-01,4.02
2025-06-01,3.96
2025-07-01,3.95
2025-08-01,3.79
2025-09-01,3.66
2025-10-01,3.65
